date,max_SWDOWN
2019-03-01,1029.23
2019-03-02,1032.46
2019-03-03,1032.56
2019-03-04,1028.39
2019-03-05,1028.57
2019-03-06,1038.81
2019-03-07,1048.96
2019-03-08,1048.7
2019-03-09,1057.73
2019-03-10,1054.28
2019-03-11,1060.4
2019-03-12,1081.78
2019-03-13,1077.54
2019-03-14,1069.99
2019-03-15,1066.22
2019-03-16,1027.42
2019-03-17,1065.08
2019-03-18,1037.38
2019-03-19,1083.48
2019-03-20,1093.86
2019-03-21,1080.59
2019-03-22,1077.81
2019-03-23,1107.25
2019-03-24,1105.45
2019-03-25,1124.17
2019-03-26,1134.88
2019-03-27,1123.0
2019-03-28,1120.96
2019-03-29,1109.04
2019-03-30,1098.6
2019-03-31,1095.47
