date,max_SWDOWN
2022-04-01,1114.14
2022-04-02,1115.84
2022-04-03,1109.61
2022-04-04,1114.74
2022-04-05,1126.49
2022-04-06,1133.7
2022-04-07,1100.53
2022-04-08,1085.09
2022-04-09,1060.79
2022-04-10,1085.01
2022-04-11,1104.23
2022-04-12,1030.82
2022-04-13,1104.83
2022-04-14,1092.82
2022-04-15,1072.88
2022-04-16,1109.28
2022-04-17,1139.47
2022-04-18,1121.52
2022-04-19,1120.13
2022-04-20,1114.0
2022-04-21,1101.39
2022-04-22,1091.19
2022-04-23,1060.64
2022-04-24,1111.63
2022-04-25,1118.71
2022-04-26,1084.31
2022-04-27,1114.12
2022-04-28,1120.77
2022-04-29,1126.35
2022-04-30,1124.36
