date,max_SWDOWN
2022-05-01,1018.74
2022-05-02,1111.55
2022-05-03,1121.93
2022-05-04,1124.62
2022-05-05,1113.93
2022-05-06,1115.73
2022-05-07,1116.0
2022-05-08,1095.63
2022-05-09,1116.96
2022-05-10,1126.77
2022-05-11,1129.78
2022-05-12,1150.7
2022-05-13,1151.71
2022-05-14,1131.22
2022-05-15,1125.72
2022-05-16,1166.95
2022-05-17,1140.81
2022-05-18,1138.38
2022-05-19,1124.02
2022-05-20,1109.88
2022-05-21,1105.95
2022-05-22,1115.7
2022-05-23,1128.18
2022-05-24,1097.28
2022-05-25,1109.97
2022-05-26,1119.13
2022-05-27,1131.46
2022-05-28,1124.68
2022-05-29,1108.52
2022-05-30,1105.41
2022-05-31,1116.37
